canton_name,hospital,Hospital_type,Number_of_outpatient_consultations,"Number_of_care_days_(inpatient,_without_discharge_day",Number_of_healthy_newborns_(inpatient_treatment),Number_of_operating_rooms,Number_of_delivery_rooms,MRI,CT,PET,CC,LB,Lito,Angio,Dia,Physicians,physicians in training,Nursing staff,Other medical personnel,Total staff,"MRI, outpatient","MRI, inpatient","CT, outpatient","CT, inpatient","Angiography, outpatient","Angiography, inpatient","Dialysis, outpatient","Dialysis, inpatient",City,lat,lng
Basel-Landschaft,Kantonsspital Baselland,Hospital lvl2,221081.0,144652.0,537.0,18.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,371.68,173.09,1022.05,444.41,2575.87,3099.0,649.5,2352.25,1853.75,96.2,288.6,337.783783783784,30.972972972973,Liestal,47.4839,7.735
Basel-Landschaft,Kantonsspital Baselland,Hospital lvl2,221081.0,144652.0,537.0,18.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,371.68,173.09,1022.05,444.41,2575.87,2976.0,555.5,2271.75,1850.0,164.5,346.25,338.189189189189,24.2432432432432,Liestal,47.4839,7.735
Basel-Landschaft,Klinik Arlesheim AG,Hospital lvl5,61677.0,27822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93,14.19,107.65,61.85,345.87,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Klinik Arlesheim AG,Hospital lvl5,61677.0,27822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.93,14.19,107.65,61.85,345.87,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Klinik Arlesheim AG,Hospital lvl5,61677.0,27822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.15,16.81,113.38,63.99,362.78,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Klinik Arlesheim AG,Hospital lvl5,61677.0,27822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.15,16.81,113.38,63.99,362.78,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Hospiz im Park,Hospital lvl5,110.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,12.61,0.01,22.22,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Hospiz im Park,Hospital lvl5,110.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,0.0,12.61,0.01,22.22,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Hospiz im Park,Hospital lvl5,110.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,12.99,0.0,23.46,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Hospiz im Park,Hospital lvl5,110.0,1760.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,0.0,12.99,0.0,23.46,,,,,,,,,Arlesheim,47.4922,7.6203
Basel-Landschaft,Psychiatrie Baselland,Psychiatric hospital lvl1,68346.0,72411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.06,36.9,225.0,100.86,575.81,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Psychiatrie Baselland,Psychiatric hospital lvl1,68346.0,72411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.06,36.9,225.0,100.86,575.81,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Psychiatrie Baselland,Psychiatric hospital lvl1,68346.0,72411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.09,38.34,224.02,106.1,587.29,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Psychiatrie Baselland,Psychiatric hospital lvl1,68346.0,72411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.09,38.34,224.02,106.1,587.29,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Klinik ESTA,Psychiatric hospital lvl2,0.0,6211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,11.55,6.84,27.72,,,,,,,,,Reinach BL,,
Basel-Landschaft,Klinik ESTA,Psychiatric hospital lvl2,0.0,6211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82,0.0,11.55,6.84,27.72,,,,,,,,,Reinach BL,,
Basel-Landschaft,Klinik ESTA,Psychiatric hospital lvl2,0.0,6211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,11.06,6.12,26.76,,,,,,,,,Reinach BL,,
Basel-Landschaft,Klinik ESTA,Psychiatric hospital lvl2,0.0,6211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,0.0,11.06,6.12,26.76,,,,,,,,,Reinach BL,,
Basel-Landschaft,Hirslanden Klinik Birshof,clinic: Surgery,61564.0,13938.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51,3.35,73.74,46.97,197.72,4945.0,21.0,1133.0,42.0,,,,,Münchenstein,47.5186,7.6174
Basel-Landschaft,Hirslanden Klinik Birshof,clinic: Surgery,61564.0,13938.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.51,3.35,73.74,46.97,197.72,4709.0,23.0,1159.0,36.0,,,,,Münchenstein,47.5186,7.6174
Basel-Landschaft,Hirslanden Klinik Birshof,clinic: Surgery,61564.0,13938.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,3.37,78.39,51.75,207.37,4945.0,21.0,1133.0,42.0,,,,,Münchenstein,47.5186,7.6174
Basel-Landschaft,Hirslanden Klinik Birshof,clinic: Surgery,61564.0,13938.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.31,3.37,78.39,51.75,207.37,4709.0,23.0,1159.0,36.0,,,,,Münchenstein,47.5186,7.6174
Basel-Landschaft,Praxisklinik Rennbahn AG,clinic: Surgery,57028.0,4746.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.65,5.57,22.04,52.13,130.91,,,,,,,,,Muttenz,47.5228,7.6452
Basel-Landschaft,Praxisklinik Rennbahn AG,clinic: Surgery,57028.0,4746.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.65,5.57,22.04,52.13,130.91,,,,,,,,,Muttenz,47.5228,7.6452
Basel-Landschaft,Praxisklinik Rennbahn AG,clinic: Surgery,57028.0,4746.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63,6.48,22.37,51.22,132.11,,,,,,,,,Muttenz,47.5228,7.6452
Basel-Landschaft,Praxisklinik Rennbahn AG,clinic: Surgery,57028.0,4746.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.63,6.48,22.37,51.22,132.11,,,,,,,,,Muttenz,47.5228,7.6452
Basel-Landschaft,Geburtshaus ambra GmbH,clinic: Gynecology / Neonatology,522.0,415.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,6.45,,,,,,,,,Wittinsburg,,
Basel-Landschaft,Geburtshaus ambra GmbH,clinic: Gynecology / Neonatology,522.0,415.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89,0.0,6.45,,,,,,,,,Wittinsburg,,
Basel-Landschaft,Geburtshaus ambra GmbH,clinic: Gynecology / Neonatology,522.0,415.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.0,7.36,,,,,,,,,Wittinsburg,,
Basel-Landschaft,Geburtshaus ambra GmbH,clinic: Gynecology / Neonatology,522.0,415.0,72.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.63,0.0,7.36,,,,,,,,,Wittinsburg,,
Basel-Landschaft,Geburtshaus Tagmond GmbH,clinic: Gynecology / Neonatology,410.0,291.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,5.01,,,,,,,,,Pratteln,47.5185,7.6928
Basel-Landschaft,Geburtshaus Tagmond GmbH,clinic: Gynecology / Neonatology,410.0,291.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.02,0.0,5.01,,,,,,,,,Pratteln,47.5185,7.6928
Basel-Landschaft,Geburtshaus Tagmond GmbH,clinic: Gynecology / Neonatology,410.0,291.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,4.77,,,,,,,,,Pratteln,47.5185,7.6928
Basel-Landschaft,Geburtshaus Tagmond GmbH,clinic: Gynecology / Neonatology,410.0,291.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,4.77,,,,,,,,,Pratteln,47.5185,7.6928
Basel-Landschaft,Ergolz-Klinik,clinic: Miscellaneous,212.0,2140.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.89,5.01,18.8,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Ergolz-Klinik,clinic: Miscellaneous,212.0,2140.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.89,5.01,18.8,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Ergolz-Klinik,clinic: Miscellaneous,212.0,2140.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,10.0,3.6,18.9,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Ergolz-Klinik,clinic: Miscellaneous,212.0,2140.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,10.0,3.6,18.9,,,,,,,,,Liestal,47.4839,7.735
Basel-Landschaft,Vista Klinik,clinic: Miscellaneous,0.0,831.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,3.35,8.01,0.0,15.21,,,,,,,,,Binningen,47.5333,7.5667
Basel-Landschaft,Vista Klinik,clinic: Miscellaneous,0.0,831.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,3.35,8.01,0.0,15.21,,,,,,,,,Binningen,47.5333,7.5667
Basel-Landschaft,Vista Klinik,clinic: Miscellaneous,0.0,831.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,3.1,7.33,0.0,14.53,,,,,,,,,Binningen,47.5333,7.5667
Basel-Landschaft,Vista Klinik,clinic: Miscellaneous,0.0,831.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,3.1,7.33,0.0,14.53,,,,,,,,,Binningen,47.5333,7.5667
Basel-Stadt,Universitätsspital Basel,Hospital lvl1,604522.0,209673.0,2181.0,30.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,985.56,455.28,1719.8,849.65,5194.11,2517.4,1297.4,9121.33333333333,5951.0,125.166666666667,752.0,315.457142857143,67.9714285714286,Basel,47.5606,7.5906
Basel-Stadt,Universitätsspital Basel,Hospital lvl1,604522.0,209673.0,2181.0,30.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,985.56,455.28,1719.8,849.65,5194.11,2560.2,1289.4,8292.33333333333,5453.66666666667,115.0,588.0,332.4,64.6285714285714,Basel,47.5606,7.5906
Basel-Stadt,Universitätsspital Basel,Hospital lvl1,604522.0,209673.0,2181.0,30.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1025.43,483.08,1820.78,876.16,5392.25,2517.4,1297.4,9121.33333333333,5951.0,125.166666666667,752.0,315.457142857143,67.9714285714286,Basel,47.5606,7.5906
Basel-Stadt,Universitätsspital Basel,Hospital lvl1,604522.0,209673.0,2181.0,30.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1025.43,483.08,1820.78,876.16,5392.25,2560.2,1289.4,8292.33333333333,5453.66666666667,115.0,588.0,332.4,64.6285714285714,Basel,47.5606,7.5906
Basel-Stadt,St. Claraspital,Hospital lvl2,116421.0,62547.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,109.55,34.27,355.77,98.97,808.94,2762.0,732.0,1734.0,942.333333333333,,,,,Basel,47.5606,7.5906
Basel-Stadt,St. Claraspital,Hospital lvl2,116421.0,62547.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,109.55,34.27,355.77,98.97,808.94,2725.0,849.0,1773.33333333333,1241.33333333333,66.0,194.0,,,Basel,47.5606,7.5906
Basel-Stadt,St. Claraspital,Hospital lvl2,116421.0,62547.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,107.54,36.66,363.45,98.94,821.56,2762.0,732.0,1734.0,942.333333333333,,,,,Basel,47.5606,7.5906
Basel-Stadt,St. Claraspital,Hospital lvl2,116421.0,62547.0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,107.54,36.66,363.45,98.94,821.56,2725.0,849.0,1773.33333333333,1241.33333333333,66.0,194.0,,,Basel,47.5606,7.5906
Basel-Stadt,Bethesda Spital AG,Hospital lvl3,111261.0,34754.0,1799.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.63,15.91,211.4,96.99,517.43,3028.0,253.0,966.0,274.0,,,1118.0,3.25,Basel,47.5606,7.5906
Basel-Stadt,Bethesda Spital AG,Hospital lvl3,111261.0,34754.0,1799.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,53.63,15.91,211.4,96.99,517.43,3461.0,405.0,1241.0,317.0,,,1203.25,0.5,Basel,47.5606,7.5906
Basel-Stadt,Bethesda Spital AG,Hospital lvl3,111261.0,34754.0,1799.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.43,17.23,221.95,95.89,527.21,3028.0,253.0,966.0,274.0,,,1118.0,3.25,Basel,47.5606,7.5906
Basel-Stadt,Bethesda Spital AG,Hospital lvl3,111261.0,34754.0,1799.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,55.43,17.23,221.95,95.89,527.21,3461.0,405.0,1241.0,317.0,,,1203.25,0.5,Basel,47.5606,7.5906
Basel-Stadt,Universitäre Psychiatrische Kliniken Basel,Psychiatric hospital lvl1,230714.0,89170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.79,44.08,347.37,177.42,907.22,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäre Psychiatrische Kliniken Basel,Psychiatric hospital lvl1,230714.0,89170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.79,44.08,347.37,177.42,907.22,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäre Psychiatrische Kliniken Basel,Psychiatric hospital lvl1,230714.0,89170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.69,49.5,344.29,178.75,903.73,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäre Psychiatrische Kliniken Basel,Psychiatric hospital lvl1,230714.0,89170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.69,49.5,344.29,178.75,903.73,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Klinik Sonnenhalde,Psychiatric hospital lvl2,6683.0,21273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82,11.39,50.04,22.55,138.0,,,,,,,,,Riehen,47.5794,7.6512
Basel-Stadt,Klinik Sonnenhalde,Psychiatric hospital lvl2,6683.0,21273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.82,11.39,50.04,22.55,138.0,,,,,,,,,Riehen,47.5794,7.6512
Basel-Stadt,Klinik Sonnenhalde,Psychiatric hospital lvl2,6683.0,21273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95,8.27,48.45,24.04,133.38,,,,,,,,,Riehen,47.5794,7.6512
Basel-Stadt,Klinik Sonnenhalde,Psychiatric hospital lvl2,6683.0,21273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.95,8.27,48.45,24.04,133.38,,,,,,,,,Riehen,47.5794,7.6512
Basel-Stadt,REHAB Basel,Rehabilitation clinic,4905.0,31396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,9.55,183.3,89.2,419.94,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,REHAB Basel,Rehabilitation clinic,4905.0,31396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.95,9.55,183.3,89.2,419.94,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,REHAB Basel,Rehabilitation clinic,4905.0,31396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,7.58,183.79,94.03,433.15,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,REHAB Basel,Rehabilitation clinic,4905.0,31396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,7.58,183.79,94.03,433.15,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Merian Iselin Klinik,clinic: Surgery,36273.0,25932.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.07,0.0,207.69,82.83,496.9,3734.0,27.0,1038.0,199.0,2.0,152.0,,,Basel,47.5606,7.5906
Basel-Stadt,Merian Iselin Klinik,clinic: Surgery,36273.0,25932.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,25.07,0.0,207.69,82.83,496.9,3757.5,33.5,1145.5,197.0,0.0,122.0,,,Basel,47.5606,7.5906
Basel-Stadt,Merian Iselin Klinik,clinic: Surgery,36273.0,25932.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.72,0.0,208.38,91.05,513.99,3734.0,27.0,1038.0,199.0,2.0,152.0,,,Basel,47.5606,7.5906
Basel-Stadt,Merian Iselin Klinik,clinic: Surgery,36273.0,25932.0,0.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.72,0.0,208.38,91.05,513.99,3757.5,33.5,1145.5,197.0,0.0,122.0,,,Basel,47.5606,7.5906
Basel-Stadt,Matthea Geburtshaus,clinic: Gynecology / Neonatology,54.0,1862.0,249.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,7.14,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Matthea Geburtshaus,clinic: Gynecology / Neonatology,54.0,1862.0,249.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,7.14,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Matthea Geburtshaus,clinic: Gynecology / Neonatology,54.0,1862.0,249.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53,0.0,11.71,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Matthea Geburtshaus,clinic: Gynecology / Neonatology,54.0,1862.0,249.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.53,0.0,11.71,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Geburtshaus Basel,clinic: Gynecology / Neonatology,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Geburtshaus Basel,clinic: Gynecology / Neonatology,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Geburtshaus Basel,clinic: Gynecology / Neonatology,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Geburtshaus Basel,clinic: Gynecology / Neonatology,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäts-Kinderspital beider Basel (UKBB),clinic: Pediatrics,98637.0,29428.0,69.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.8,65.21,399.36,70.1,786.38,2415.0,807.0,281.0,236.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäts-Kinderspital beider Basel (UKBB),clinic: Pediatrics,98637.0,29428.0,69.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,148.8,65.21,399.36,70.1,786.38,3142.0,1105.0,351.0,341.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäts-Kinderspital beider Basel (UKBB),clinic: Pediatrics,98637.0,29428.0,69.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,167.36,67.5,396.86,77.09,810.89,2415.0,807.0,281.0,236.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Universitäts-Kinderspital beider Basel (UKBB),clinic: Pediatrics,98637.0,29428.0,69.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,167.36,67.5,396.86,77.09,810.89,3142.0,1105.0,351.0,341.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Felix Platter-Spital,clinic: Geriatrics,13622.0,87659.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.64,28.24,332.05,113.79,698.14,,,301.0,1240.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Felix Platter-Spital,clinic: Geriatrics,13622.0,87659.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,56.64,28.24,332.05,113.79,698.14,,,108.0,1404.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Felix Platter-Spital,clinic: Geriatrics,13622.0,87659.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.88,31.51,340.34,112.77,716.39,,,301.0,1240.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Felix Platter-Spital,clinic: Geriatrics,13622.0,87659.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.88,31.51,340.34,112.77,716.39,,,108.0,1404.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,Adullam Spital,clinic: Geriatrics,5618.0,33816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.49,18.0,97.11,32.34,250.9,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Adullam Spital,clinic: Geriatrics,5618.0,33816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.49,18.0,97.11,32.34,250.9,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Adullam Spital,clinic: Geriatrics,5618.0,33816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.48,18.27,106.3,34.83,257.05,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Adullam Spital,clinic: Geriatrics,5618.0,33816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.48,18.27,106.3,34.83,257.05,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Palliativzentrum Hildegard,clinic: Miscellaneous,0.0,6365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,34.5,3.16,51.27,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Palliativzentrum Hildegard,clinic: Miscellaneous,0.0,6365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,34.5,3.16,51.27,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Palliativzentrum Hildegard,clinic: Miscellaneous,0.0,6365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.3,34.64,2.85,49.43,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,Palliativzentrum Hildegard,clinic: Miscellaneous,0.0,6365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93,0.3,34.64,2.85,49.43,,,,,,,,,Basel,47.5606,7.5906
Basel-Stadt,SMN - Schmerzklinik Basel,clinic: Miscellaneous,21144.0,2621.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.84,14.76,15.36,63.79,,,442.0,13.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,SMN - Schmerzklinik Basel,clinic: Miscellaneous,21144.0,2621.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.84,14.76,15.36,63.79,,,446.0,14.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,SMN - Schmerzklinik Basel,clinic: Miscellaneous,21144.0,2621.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,1.61,14.37,20.34,76.31,,,442.0,13.0,,,,,Basel,47.5606,7.5906
Basel-Stadt,SMN - Schmerzklinik Basel,clinic: Miscellaneous,21144.0,2621.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.98,1.61,14.37,20.34,76.31,,,446.0,14.0,,,,,Basel,47.5606,7.5906
Fribourg,HFR - Hôpital fribourgeois,Hospital lvl2,474143.0,156180.0,875.0,15.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,514.14,0.06,1153.07,291.71,2695.3,2265.33333333333,573.666666666667,2445.0,1690.4,1169.0,793.0,341.611111111111,20.4166666666667,Fribourg,46.8,7.15
Fribourg,HFR - Hôpital fribourgeois,Hospital lvl2,474143.0,156180.0,875.0,15.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,514.14,0.06,1153.07,291.71,2695.3,2015.0,618.0,2374.4,1862.6,669.0,909.0,355.055555555556,16.0833333333333,Fribourg,46.8,7.15
